Name,Manufacturer,Serial Number,Category,Purchase Date,Purchase Cost,Location,Company,Order Number,Quantity,Notes,Model Number,Min Qty,Supplier
Travel Document Organizer,Linkbridge,9d49c55d-226e-4c15-a7e5-404a30736128,Computers,2025-09-08,15.99,Chambishi,"Emmerich, Fahey and Steuber",15599,55,"Organize travel documents, passport, and cards.",Refreshing sorbet with a zesty lemon flavor.,202,Buzzshare
Plant-Based Protein Bars,Fivebridge,,Toys,2025-10-31,,Bayuwan,Daugherty and Sons,26289,235,Nutritious protein bars for on-the-go snacking.,Personalize your calendar with photos and special dates.,105,Thoughtmix
Backpack,Divanoodle,a8d9b34f-a59c-4254-8391-a55172745000,Computers,2025-10-14,49.99,Guishan,Wilderman-Rippin,79872,127,,Secure phone mount that wirelessly charges your device while driving.,66,Photobug
Pumpkin Pancake Mix,,038a886f-fff0-4b2a-bbea-c4c4c9d81f3c,Jewelry,2025-04-13,4.19,,,28159,194,,Grilled chicken skewers glazed with teriyaki sauce.,105,Fivechat
Portable Bluetooth Keyboard,Innojam,,Baby,2025-11-12,39.99,,Schmeler-Boyle,72576,90,Compact keyboard for tablets and smartphones.,"Ready-to-eat beet salad with dressing, great side dish.",77,Tagtune
Cheddar & Bacon Potato Skins,Feedspan,8ea88654-f473-4aaf-9f72-f0eb1b54130b,Grocery,2025-02-26,,Wucun,Schaefer LLC,38607,110,,Pancake mix infused with seasonal pumpkin spice flavor.,,Vidoo
Teriyaki Beef Strips,Devpulse,3b0ed0c4-b108-4aab-a946-0486186325d1,Music,2026-01-17,7.49,,Gottlieb LLC,37890,72,Marinated beef strips in teriyaki sauce for easy grilling.,"Heavy-duty rope suitable for boating, camping, and general use.",108,
Sesame Oil,Devshare,e114cbcf-0e40-4c77-a676-6671af916c5a,Baby,2025-01-16,3.99,Pueblo Nuevo,,,50,Nutty-scented oil for stir-fry and marinades.,Trendy high-top canvas sneakers for a stylish streetwear look.,20,Zooxo
Sun-Dried Tomato Pesto,Kwimbee,431c4493-5c18-438d-ba9f-126eda212bea,Electronics,2026-02-12,4.49,Khalīlābād,"O'Kon, Bednar and Raynor",44123,189,A rich pesto made with sun-dried tomatoes and pine nuts.,Rich vegetable broth for soups and stews.,128,Youspan
Garlic Butter Sauce,Photolist,3e1debcb-bf5b-4d46-9f77-21d29eede37b,Baby,2025-02-22,3.59,Quezon,,,113,A rich sauce perfect for pasta or drizzling over vegetables.,Stylish case with magnetic closure for smartphones.,260,Browsecat
Classic Cheeseburger Mix,Yakitri,a0b1da61-88cd-4d0b-84d1-d0930939891c,Electronics,2025-06-06,5.49,Góra Kalwaria,Altenwerth and Sons,39354,86,"All-in-one mix for easy homemade cheeseburgers, just add ground beef.",Water bottle with built-in UV-C light for self-cleaning.,,Eamia
Heavy Duty Gardening Tool Set,Thoughtstorm,,Automotive,2025-04-16,49.99,Sinyavino,Prosacco LLC,,188,Comprehensive tool set for gardening enthusiasts.,Compact electronic drum kit for musicians of all levels.,138,Skyble
Saffron Rice Mix,Trudoo,b04d7b54-d774-49eb-8497-22a3091cf768,Jewelry,2025-04-29,,Qinggang,,43939,96,Flavorful rice mix with saffron and spices.,"Roasted pistachios, a healthy and tasty snack.",197,Rhyloo
Vegetable Spiralizer,Topiclounge,83b1f24e-6251-409b-be11-d7295f2d156d,Music,2026-01-07,19.99,Felgueiras,"Johnston, Ryan and Roob",4635,146,Create spiraled vegetable noodles easily for healthy meals.,Lightweight and portable paddle board for water sports.,143,
Robot Vacuum Cleaner,,6abb6482-ddb1-4eb6-a801-54225ad376a8,Garden,2025-03-17,299.99,,,84578,35,Smart robotic vacuum for automatic cleaning.,,162,Skibox
Ceramic Cookware Set,Edgetag,057ab8cd-5d27-45ac-8716-abaacd56493c,Home,2025-06-14,,Qiucun,"Windler, Hoppe and Armstrong",95355,78,Durable and non-stick ceramic cookware for healthy cooking.,Charge multiple devices with this sleek charging station.,156,Thoughtsphere
